Episode,Avg_Reward,Avg_Q0,Avg_J_Value,Max_Coverage,Action1_Ratio,Valid_Assign_Rate,Avg_P_Dmg,Avg_P_Final,Loss_Critic,Loss_Actor,Entropy
10,32.0344,0.6739,16.8967,6,0.4000,1.0000,0.5747,0.5747,42.526321,-0.006705,0.682063
20,34.3515,5.2697,19.9265,8,0.2222,1.0000,0.5728,0.5728,36.294669,0.002028,0.595195
30,37.6135,8.6641,30.2469,7,0.2685,1.0000,0.6262,0.6262,0.000000,0.000000,0.000000
40,39.4221,12.5016,24.0833,8,0.2373,1.0000,0.5437,0.5437,0.000000,0.000000,0.000000
50,41.8129,16.8965,37.2093,10,0.1176,1.0000,0.6468,0.6468,14.056673,-0.003269,0.344177
60,46.2036,24.7186,34.5797,10,0.2117,1.0000,0.5854,0.5854,11.026063,-0.010897,0.377608
70,49.8845,31.2935,37.7509,10,0.1374,1.0000,0.6560,0.6560,6.764277,0.009782,0.416302
80,52.1487,38.1118,41.0738,10,0.2190,1.0000,0.6048,0.6048,3.536210,-0.003112,0.370363
90,54.9407,43.7670,45.7488,10,0.1461,1.0000,0.7226,0.7226,0.000000,0.000000,0.000000
100,56.4274,47.8325,39.5895,10,0.1573,1.0000,0.5634,0.5634,0.000000,0.000000,0.000000
110,57.6972,51.4913,51.4416,10,0.1122,1.0000,0.6716,0.6716,0.000000,0.000000,0.000000
120,58.0074,55.0398,41.8619,10,0.0504,1.0000,0.7826,0.7826,0.000000,0.000000,0.000000
130,58.2133,57.5023,31.7871,10,0.0563,1.0000,0.8348,0.8348,0.000000,0.000000,0.000000
140,56.7336,58.2229,25.1423,10,0.0431,1.0000,0.8055,0.8055,0.000000,0.000000,0.000000
150,56.1395,57.2693,44.6945,10,0.0392,1.0000,0.9125,0.9125,0.000000,0.000000,0.000000
160,55.3544,55.7460,51.1041,10,0.0946,1.0000,0.8209,0.8209,0.000000,0.000000,0.000000
170,55.9408,53.5965,45.0266,10,0.1356,1.0000,0.7431,0.7431,0.000000,0.000000,0.000000
180,56.8235,52.0974,49.0353,10,0.1257,1.0000,0.8459,0.8459,0.000000,0.000000,0.000000
190,58.7849,52.7882,52.3342,10,0.0758,1.0000,0.8215,0.8215,0.000000,0.000000,0.000000
200,58.9036,54.5185,41.3707,9,0.0560,1.0000,0.9013,0.9013,0.941729,0.003609,0.073930
210,59.3260,55.2730,48.4029,10,0.0442,1.0000,0.9077,0.9077,1.333907,-0.004554,0.036012
220,59.1203,56.0595,50.5328,10,0.0739,1.0000,0.8807,0.8807,2.792721,0.005670,0.092178
230,59.0406,56.0343,47.8666,10,0.0931,1.0000,0.8654,0.8654,1.251255,-0.004591,0.079390
240,58.5719,55.0811,51.7400,10,0.0484,1.0000,0.8983,0.8983,2.292149,0.004956,0.052641
250,59.1251,53.8777,41.9665,10,0.0546,1.0000,0.9098,0.9098,0.962077,0.013885,0.047451
260,59.3396,53.3722,45.3782,10,0.0773,1.0000,0.8877,0.8877,1.636401,0.005146,0.054128
270,59.4178,52.6766,44.4940,10,0.0741,1.0000,0.8714,0.8714,1.574373,-0.007488,0.091267
280,58.9406,51.9780,41.5157,10,0.2358,1.0000,0.8240,0.8240,1.846557,0.020295,0.115636
290,59.4321,52.3889,47.5052,10,0.0844,1.0000,0.8110,0.8110,1.490420,0.010033,0.075983
300,59.6542,53.1066,51.0961,10,0.0962,1.0000,0.8518,0.8518,1.639664,-0.001263,0.107069
310,59.9018,53.9600,46.1056,10,0.0649,1.0000,0.8916,0.8916,2.126436,0.000019,0.080774
320,60.1876,54.8084,46.7087,10,0.0892,1.0000,0.8464,0.8464,0.589446,-0.014394,0.062613
330,60.4797,55.3107,45.5229,10,0.0615,1.0000,0.8168,0.8168,1.298131,0.006994,0.041432
340,59.7273,55.2573,44.0828,10,0.0444,1.0000,0.9020,0.9020,0.841739,0.002982,0.054181
350,59.3108,54.5810,48.1855,10,0.0622,1.0000,0.8656,0.8656,0.880428,-0.003766,0.060644
360,59.1327,54.0664,45.2347,10,0.2397,1.0000,0.8040,0.8040,1.783116,0.005951,0.104132
370,59.0829,53.7743,45.0774,10,0.1243,1.0000,0.8260,0.8260,0.902414,-0.008425,0.106283
380,59.0627,54.2409,46.9994,10,0.2000,1.0000,0.8067,0.8067,6.007730,-0.011458,0.204370
390,59.5744,54.2861,48.9830,10,0.0699,1.0000,0.8243,0.8243,1.397348,-0.006812,0.084515
400,59.3738,55.2582,39.4002,9,0.0476,1.0000,0.9051,0.9051,8.729422,0.020708,0.065521
410,57.3569,54.5928,48.8752,10,0.1105,1.0000,0.8817,0.8817,3.568486,0.003854,0.144633
420,56.9523,54.1802,46.1128,10,0.2358,1.0000,0.8540,0.8540,2.317576,-0.004616,0.155580
430,57.2248,54.0290,51.1635,10,0.1469,1.0000,0.8504,0.8504,1.144196,-0.003988,0.242035
440,53.9293,53.0092,29.6979,4,0.0186,1.0000,0.8556,0.8556,7.877564,0.002850,0.032122
450,50.2018,49.7445,30.9392,8,0.0451,1.0000,0.8948,0.8948,7.753578,0.001860,0.185586
460,50.9304,48.3286,41.0279,10,0.2400,1.0000,0.7342,0.7342,0.000000,0.000000,0.000000
470,50.7979,47.6737,42.8048,10,0.2377,1.0000,0.8344,0.8344,0.000000,0.000000,0.000000
480,50.0544,47.8760,38.2769,10,0.1946,1.0000,0.7092,0.7092,3.945818,-0.014389,0.312462
490,52.9673,48.0742,43.0466,9,0.2013,1.0000,0.7894,0.7894,1.892862,0.008214,0.328990
500,56.0420,50.6465,45.2994,10,0.1750,1.0000,0.8441,0.8441,4.781646,-0.018217,0.242960
510,57.2920,51.7828,36.0065,10,0.1264,1.0000,0.8050,0.8050,1.765750,0.001221,0.168324
520,57.8077,53.1693,48.9268,10,0.1140,1.0000,0.8912,0.8912,1.325188,0.004865,0.139040
530,58.4283,53.3118,49.8228,10,0.0630,1.0000,0.9082,0.9082,0.695334,-0.001503,0.073045
540,58.5113,53.9128,48.7874,10,0.0860,1.0000,0.8883,0.8883,0.844834,0.003521,0.091443
550,59.9030,54.0654,52.7978,10,0.0814,1.0000,0.8560,0.8560,0.587645,-0.000064,0.093943
560,60.1798,55.3794,50.2993,10,0.1206,1.0000,0.8045,0.8045,0.816499,0.003299,0.172912
570,60.0383,55.5287,36.3220,10,0.0546,1.0000,0.8889,0.8889,2.065112,0.000197,0.123954
580,60.0564,54.9512,49.8914,10,0.2500,1.0000,0.7934,0.7934,2.942078,0.000873,0.325506
590,60.0758,54.8225,51.1549,10,0.0576,1.0000,0.8754,0.8754,1.506839,-0.006401,0.251947
600,59.7785,54.8782,43.5086,10,0.1566,1.0000,0.8623,0.8623,0.961442,-0.002617,0.181993
610,59.5358,55.0263,40.1615,10,0.2362,1.0000,0.7309,0.7309,1.913646,-0.003846,0.216476
620,59.4366,54.6340,46.5346,10,0.0823,1.0000,0.8581,0.8581,0.000000,0.000000,0.000000
630,59.7298,55.2805,43.8233,10,0.0995,1.0000,0.8084,0.8084,0.000000,0.000000,0.000000
640,60.3645,55.5278,46.3869,10,0.1333,1.0000,0.8290,0.8290,0.000000,0.000000,0.000000
650,60.4730,55.9967,39.1005,10,0.0492,1.0000,0.8456,0.8456,0.000000,0.000000,0.000000
660,60.4798,56.0549,49.3037,10,0.1879,1.0000,0.8371,0.8371,0.000000,0.000000,0.000000
670,61.2097,56.4915,43.7000,10,0.2044,1.0000,0.8273,0.8273,0.000000,0.000000,0.000000
680,61.0446,56.6293,43.2261,10,0.0440,1.0000,0.9142,0.9142,0.000000,0.000000,0.000000
690,60.4302,56.6201,43.4525,10,0.0861,1.0000,0.8929,0.8929,0.000000,0.000000,0.000000
700,60.8052,55.9748,46.6805,9,0.2521,1.0000,0.8405,0.8405,0.000000,0.000000,0.000000
710,60.8404,56.1888,45.7514,10,0.0528,1.0000,0.8911,0.8911,0.000000,0.000000,0.000000
720,60.5066,56.7105,51.1476,10,0.1333,1.0000,0.8199,0.8199,0.000000,0.000000,0.000000
730,60.4901,56.2964,48.7032,10,0.1168,1.0000,0.8552,0.8552,0.000000,0.000000,0.000000
740,60.8149,56.0160,43.6074,10,0.0870,1.0000,0.9029,0.9029,0.000000,0.000000,0.000000
750,60.6322,56.2655,41.3088,10,0.0641,1.0000,0.8851,0.8851,0.000000,0.000000,0.000000
760,60.6968,55.4941,43.9266,10,0.1772,1.0000,0.7589,0.7589,0.000000,0.000000,0.000000
770,60.6059,54.2405,46.5872,10,0.2400,1.0000,0.7937,0.7937,0.000000,0.000000,0.000000
780,60.0807,54.3164,33.6154,10,0.0622,1.0000,0.8937,0.8937,0.000000,0.000000,0.000000
790,60.2930,54.5496,49.6375,10,0.1842,1.0000,0.8352,0.8352,0.000000,0.000000,0.000000
800,60.2125,54.4931,47.7109,10,0.2069,1.0000,0.7977,0.7977,0.000000,0.000000,0.000000
810,60.4015,54.8979,45.7964,10,0.1323,1.0000,0.8441,0.8441,0.000000,0.000000,0.000000
820,60.4824,55.6546,45.8783,10,0.2400,1.0000,0.8686,0.8686,0.000000,0.000000,0.000000
830,61.0593,56.0369,46.0231,10,0.1311,1.0000,0.8335,0.8335,0.000000,0.000000,0.000000
