Episode,Avg_Reward,Avg_Q0,Avg_J_Value,Max_Coverage,Action1_Ratio,Valid_Assign_Rate,Avg_P_Dmg,Avg_P_Final,Loss_Critic,Loss_Actor,Entropy
10,33.1492,2.8590,32.4534,8,0.3333,1.0000,0.6647,0.6647,0.000000,0.000000,0.000000
20,38.3400,7.7100,33.9899,6,0.3614,1.0000,0.5926,0.5926,0.000000,0.000000,0.000000
30,54.9435,12.2000,28.5929,9,0.2679,1.0000,0.5477,0.5477,331.362947,-0.007466,0.445005
40,91.9632,18.4939,41.4034,10,0.1479,1.0000,0.6340,0.6340,503.432659,-0.006807,0.357186
50,115.2376,27.3810,42.0658,10,0.1337,1.0000,0.6001,0.6001,236.691789,-0.003861,0.273324
60,150.0106,45.9544,45.2707,10,0.1667,1.0000,0.6201,0.6201,0.000000,0.000000,0.000000
70,186.0398,68.4227,40.5559,10,0.2000,1.0000,0.5342,0.5342,0.000000,0.000000,0.000000
80,214.1008,92.9225,38.7762,10,0.1494,1.0000,0.5193,0.5193,0.000000,0.000000,0.000000
90,219.3286,117.1793,47.6908,10,0.1667,1.0000,0.7074,0.7074,0.000000,0.000000,0.000000
100,223.1017,143.0317,43.4852,10,0.2459,1.0000,0.7142,0.7142,0.000000,0.000000,0.000000
110,223.3140,161.5130,33.6762,10,0.2057,1.0000,0.5215,0.5215,90.376538,-0.005918,0.316467
120,224.4467,170.7118,36.0994,10,0.2222,1.0000,0.5100,0.5100,127.609739,-0.006467,0.345238
130,220.7542,175.3646,42.1625,10,0.1801,1.0000,0.6443,0.6443,119.285394,-0.003475,0.289881
140,218.5062,176.9700,42.7249,10,0.2030,1.0000,0.7520,0.7520,0.000000,0.000000,0.000000
150,214.8728,173.6727,39.6003,10,0.1986,1.0000,0.6977,0.6977,0.000000,0.000000,0.000000
160,216.5706,171.1542,39.1365,10,0.1918,1.0000,0.5148,0.5148,124.295843,-0.008768,0.278626
170,214.2012,171.6773,31.5302,10,0.1918,1.0000,0.5191,0.5191,65.205077,-0.009052,0.294520
180,206.1705,170.0988,44.6418,10,0.2214,1.0000,0.8062,0.8062,426.865865,-0.007853,0.313335
190,199.4629,164.1435,44.1208,10,0.0537,1.0000,0.6763,0.6763,82.902295,0.001767,0.094937
200,202.1390,161.5824,37.6914,10,0.1895,1.0000,0.5760,0.5760,66.032590,0.009575,0.173726
210,205.1069,160.3864,41.7574,10,0.2521,1.0000,0.6276,0.6276,0.000000,0.000000,0.000000
220,199.7756,159.8337,44.5008,10,0.3093,1.0000,0.6973,0.6973,0.000000,0.000000,0.000000
230,194.9022,162.4623,29.9266,9,0.2885,1.0000,0.5530,0.5530,741.759479,0.013400,0.250739
240,191.5831,162.8106,35.0023,10,0.2679,1.0000,0.6539,0.6539,0.000000,0.000000,0.000000
250,182.0046,159.0009,26.6825,8,0.3896,1.0000,0.5760,0.5760,0.000000,0.000000,0.000000
260,149.7019,152.9721,35.9148,8,0.3000,1.0000,0.6075,0.6075,0.000000,0.000000,0.000000
270,125.4352,142.9390,36.7255,7,0.3297,1.0000,0.7354,0.7354,0.000000,0.000000,0.000000
280,108.3335,127.4505,30.8611,6,0.3000,1.0000,0.4932,0.4932,0.000000,0.000000,0.000000
290,98.0053,113.6801,36.0797,8,0.2479,1.0000,0.5027,0.5027,51.744216,0.002973,0.450194
300,103.2184,102.8791,43.9886,10,0.1031,1.0000,0.6661,0.6661,191.832220,-0.001237,0.281839
310,127.1574,99.2280,40.1576,10,0.2190,1.0000,0.6549,0.6549,0.000000,0.000000,0.000000
320,155.0869,102.1156,32.9227,9,0.2521,1.0000,0.5125,0.5125,0.000000,0.000000,0.000000
330,182.2566,114.0037,34.3529,10,0.0392,1.0000,0.6308,0.6308,0.000000,0.000000,0.000000
340,203.5043,132.2982,41.7611,10,0.2171,1.0000,0.6907,0.6907,265.357073,0.002778,0.314301
350,207.9685,148.5097,34.9840,10,0.2143,1.0000,0.5271,0.5271,222.258607,-0.016093,0.282601
360,216.0957,161.4442,44.1581,10,0.0878,1.0000,0.7350,0.7350,65.919726,0.000055,0.208426
370,219.6679,172.1249,43.6147,10,0.1946,1.0000,0.6537,0.6537,40.974881,-0.016531,0.317547
380,221.7987,178.1405,42.3864,10,0.2362,1.0000,0.6969,0.6969,0.000000,0.000000,0.000000
390,222.5960,181.1277,43.2104,10,0.0845,1.0000,0.7503,0.7503,0.000000,0.000000,0.000000
400,222.7872,181.9173,38.0365,10,0.2419,1.0000,0.6464,0.6464,0.000000,0.000000,0.000000
410,222.2314,178.9480,49.2711,10,0.0841,1.0000,0.6913,0.6913,0.000000,0.000000,0.000000
420,220.1986,177.4858,40.2172,10,0.1972,1.0000,0.6650,0.6650,96.489464,-0.001892,0.248292
430,224.2814,176.7489,44.0492,10,0.0874,1.0000,0.7281,0.7281,71.495383,-0.003921,0.155894
440,221.0792,177.0446,42.1602,10,0.2344,1.0000,0.6369,0.6369,138.927283,-0.011050,0.188102
450,221.5167,178.3367,43.1701,10,0.2459,1.0000,0.5711,0.5711,0.000000,0.000000,0.000000
460,218.7099,180.4011,48.1844,10,0.0966,1.0000,0.6975,0.6975,34.929016,0.010249,0.255333
470,209.9176,178.9891,34.8930,8,0.3614,1.0000,0.7041,0.7041,0.000000,0.000000,0.000000
